pid,timebin,contrast,diff,.lower,.upper
5,11,congruent minus blank,-0.1483163917703574,-0.3740691231460188,0.10203380545991551
6,11,congruent minus blank,-0.0772786749304038,-0.2618848716879429,0.11806961068934223
1,12,congruent minus blank,-0.054344210111044317,-0.3113425040322445,0.2063195764116919
2,12,congruent minus blank,-0.10161758145890262,-0.3410021221849525,0.1246327846114682
3,12,congruent minus blank,-0.03260600838150471,-0.22764138733786315,0.18215792163160416
4,12,congruent minus blank,-0.03474049303840647,-0.32607487115667705,0.25936518300841216
5,12,congruent minus blank,-0.07093638220969926,-0.3034481441300625,0.18574689223052834
6,12,congruent minus blank,-0.021152103356955027,-0.2245901354259535,0.17174647799078985
1,13,congruent minus blank,0.1341783858115625,-0.2498373017668594,0.5733569607372414
2,13,congruent minus blank,0.10625058387991293,-0.24859315793568504,0.48308284580211014
3,13,congruent minus blank,-0.1348162117017297,-0.4228326831159712,0.1650867862962712
4,13,congruent minus blank,-0.0013988006353391614,-0.4101252043610862,0.4485767671371108
5,13,congruent minus blank,-0.08308378405135064,-0.4215039749786691,0.3231655471775224
6,13,congruent minus blank,-0.2705035291232997,-0.5274897991798421,0.009230880630475042
1,14,congruent minus blank,-0.03313328877880238,-0.4221918968179895,0.5133148870970973
2,14,congruent minus blank,-0.024291120807150318,-0.41522189368495405,0.4636385955799586
3,14,congruent minus blank,-0.15502290508913052,-0.43537175860318456,0.12757930165038556
4,14,congruent minus blank,-0.04195627372719962,-0.3971495224290438,0.38565760046126313
5,14,congruent minus blank,-0.15914163778316656,-0.4995511367815303,0.20955182920138
6,14,congruent minus blank,-0.17250700741058947,-0.46106335725103087,0.15020828008495318
1,15,congruent minus blank,-0.14269867975371847,-0.7984419771693196,0.41054389912144923
2,15,congruent minus blank,-0.32219830539515476,-0.9105743608876531,0.25820925455696964
3,15,congruent minus blank,0.057742280940248206,-0.2971429884459875,0.41864322022681755
4,15,congruent minus blank,0.015549665591318746,-0.3833256044075608,0.45169386545513246
5,15,congruent minus blank,0.05459831515361872,-0.3267915746589905,0.4830100562669
6,15,congruent minus blank,0.07750129506514092,-0.3923485174694398,0.5825811015175805
1,6,incongruent minus blank,0.06525738234826144,0.025505054192315448,0.11607197216396545
2,6,incongruent minus blank,0.03337587388815482,0.005643911562054753,0.07275146016048543
3,6,incongruent minus blank,0.09960537561603806,0.05187517848625784,0.15978460656088567
4,6,incongruent minus blank,0.023021523264178712,5.238545554704877e-4,0.0571581614543454
5,6,incongruent minus blank,0.2522283836147258,0.16938296929726887,0.34366329054675765
6,6,incongruent minus blank,0.06969916126579195,0.030040669248902457,0.12044108586370604
1,7,incongruent minus blank,0.035794822131311306,-0.026684192479546266,0.10389547676188203
2,7,incongruent minus blank,9.904238554387056e-5,-0.024916517384697197,0.02656466555004721
3,7,incongruent minus blank,0.1074561887101241,0.04157435165696352,0.18548420819524886
4,7,incongruent minus blank,-0.028259798052498047,-0.061894656231365565,0.006638508431075097
5,7,incongruent minus blank,0.24068134246970366,0.1398934636434966,0.35451758068318756
6,7,incongruent minus blank,0.16720901259200013,0.09387388062987975,0.24898094934225656
1,8,incongruent minus blank,-0.182510283141951,-0.2507981176166396,-0.11671684113190897
2,8,incongruent minus blank,-0.0710247027639585,-0.11327724033277647,-0.030664703368710168
3,8,incongruent minus blank,-0.10757395664333938,-0.16269667067966784,-0.0513063952853968
4,8,incongruent minus blank,-0.22702954609559586,-0.2876219122482666,-0.17011196238907358
5,8,incongruent minus blank,0.005552142977953386,-0.0884583339684218,0.11969560730834967
6,8,incongruent minus blank,0.0654080437753158,-0.004941879699809797,0.15046449847437926
1,9,incongruent minus blank,-0.3112377561692536,-0.4005899308206629,-0.21858884956351537
2,9,incongruent minus blank,-0.27365049709082473,-0.3447801908566388,-0.19900569349126346
3,9,incongruent minus blank,-0.23020123560040154,-0.30883341057935565,-0.1550388715508282
4,9,incongruent minus blank,-0.3977470017509363,-0.4949064358165232,-0.2949033258318004
5,9,incongruent minus blank,-0.14936592790823264,-0.2354242000505043,-0.04808192776582302
6,9,incongruent minus blank,-0.07563010663399185,-0.1386837394262087,-0.007684690792262369
1,10,incongruent minus blank,-0.3861038282080687,-0.5155142325292713,-0.25135257976421566
2,10,incongruent minus blank,-0.3649206319728344,-0.4781383745048552,-0.24715574400197673
3,10,incongruent minus blank,-0.381284952587006,-0.4854964435490244,-0.27246110290492837
4,10,incongruent minus blank,-0.23778361160647116,-0.37859102104814496,-0.08965049937638941
5,10,incongruent minus blank,-0.31550440862087353,-0.43373495568354326,-0.1788459224894835
6,10,incongruent minus blank,-0.21538147603942429,-0.28839149213076243,-0.1441249058072541
1,11,incongruent minus blank,-0.21221114650604336,-0.4184908789572823,-0.009706280122524872
2,11,incongruent minus blank,-0.19835404735688555,-0.3568964054941922,-0.04398552973806486
3,11,incongruent minus blank,-0.2809412197337366,-0.41511817383249777,-0.14297013105133538
4,11,incongruent minus blank,-0.03236232815256713,-0.2489969920273907,0.18828653611936952
5,11,incongruent minus blank,-0.27726121519907454,-0.4439921176644819,-0.09370446008283465
6,11,incongruent minus blank,-0.290947648957644,-0.3900970948315632,-0.18436128124111292
1,12,incongruent minus blank,-0.12902747840369308,-0.3645474256172042,0.09628867557844886
2,12,incongruent minus blank,-0.1370274255662633,-0.3654997452971272,0.0697213395324863
3,12,incongruent minus blank,-0.1727588617568526,-0.3331900914395936,-0.007804450624469652
4,12,incongruent minus blank,0.02667317095898286,-0.22236502237262729,0.29648736379007845
5,12,incongruent minus blank,-0.2490585414933438,-0.4468341518918799,-0.050031726235822305
6,12,incongruent minus blank,-0.2518907917209735,-0.3809951064184156,-0.10999739412836633
1,13,incongruent minus blank,0.045861662793530815,-0.2556690339229233,0.3635157950433014
2,13,incongruent minus blank,0.00857582318176262,-0.27478367825296673,0.30439829105527627
3,13,incongruent minus blank,-0.06398205630175817,-0.2784411083425429,0.16799759021857746
4,13,incongruent minus blank,0.09319411676949826,-0.26028861392480007,0.44036184200477
5,13,incongruent minus blank,-0.14617538814846973,-0.3978297846164382,0.1134344809865659
6,13,incongruent minus blank,-0.402506010047424,-0.573496390460698,-0.22268948669782923
1,14,incongruent minus blank,-0.04071150482188685,-0.36525055674822726,0.2661311775123617
2,14,incongruent minus blank,-0.00490521177142737,-0.3446537632244469,0.3314929699336748
3,14,incongruent minus blank,-0.10424851132213801,-0.3485542351982718,0.12310769852698794
4,14,incongruent minus blank,0.006919589599678127,-0.31180877379216015,0.33779395656233796
5,14,incongruent minus blank,-0.09694907534558157,-0.3963804162592762,0.18099472192827476
6,14,incongruent minus blank,-0.1850259461551838,-0.42402257502131413,0.025530767998046072
1,15,incongruent minus blank,0.1417183759958182,-0.5290678022431501,0.6361888495183421
2,15,incongruent minus blank,-0.06378312360941553,-0.6546504408335225,0.4853378835678675
3,15,incongruent minus blank,0.011726006834675232,-0.3003642668585311,0.29524929238841435
4,15,incongruent minus blank,0.5182056705273822,-0.021708555292400924,0.9386904080186568
5,15,incongruent minus blank,0.07744291152298735,-0.28019198140612267,0.43364685062384145
6,15,incongruent minus blank,-0.2601641375993122,-0.5911068903251447,0.009379137876432707
